Hudson_Soft	developer	Road_Trip:_The_Arcade_Edition	who developed the computer videogame called road@trip:@the@arcade@edition
The_Winter_Room	genre	Fiction	what is the name of a fiction book
Biography	genre	The_King_Incorporated	what type of book is the@king incorporated  ?
Jimmy_Valiant	birthPlace	Franklin_County,_Tennessee	which professional@wrestler was born in franklin county  ?
Funk	genre	Get_on_the_Good_Foot_(album)	What genre@of@music does the album get@on@the@good@foot feature
Black_metal	genre	Krzysztof_Oloś	What genre does krzysztof@oloś fall under
Leptirica	genre	Horror_film	which horror@movie was based off the book after nighty years
English_language	originalLanguage	State_of_the_Union_(film)	Which language was the film state@of@the@union in
Quizmania	genre	Live_television	which genre of television is quizmania broadcasted as  ?
Norra_begravningsplatsen	placeOfBurial	Ingrid_Bergman	what was the place of burial of ingrid@bergman
Austria-Hungary	citizenship	Gyula_Benkő	What is gyula benkő's nationality
Keyboard_instrument	instrument	Billy_Smiley	which instruments does billy@smiley play  ?
Thriller_(genre)	genre	Akayla	what film@genre is akayla  ?
Fender_Precision_Bass	instrument	Jah_Wobble	what instrument did jah@wobble play
Romantic_comedy_film	genre	The_Love_Letter_(1999_film)	what genre is the@love@letter (1999 film) on netflix
42516_Oistrach	namedAfter	David_Oistrakh	What was named for david@oistrakh  ?
Hamengkubuwono_X	ethnicity	Javanese_people	Name a person from the javanese@people.
The_Funeral_(1996_film)	originalLanguage	English_language	what is the language of the@funeral
Cuban_Americans	ethnicity	Nini_Camps	What is ninicamps ethnicity
